[21/08/2025 20:55:13] Utilisateur ID: 1 | Action: Accès au tableau de bord organisateur | Détails: 
[21/08/2025 21:01:22] Utilisateur ID: 1 | Action: Accès au tableau de bord organisateur | Détails: 
[21/08/2025 21:02:57] Utilisateur ID: 1 | Action: Accès au tableau de bord organisateur | Détails: 
[21/08/2025 21:05:00] Utilisateur ID: 1 | Action: Accès au tableau de bord organisateur | Détails: 
[21/08/2025 21:05:17] Utilisateur ID: 1 | Action: Tentative de création d'un événement | Détails: [object Object]
[21/08/2025 21:05:17] Utilisateur ID: 1 | Action: Événement créé avec succès | Détails: [object Object]
[21/08/2025 21:05:18] Utilisateur ID: 1 | Action: Accès au tableau de bord organisateur | Détails: 
[21/08/2025 21:05:28] Utilisateur ID: 1 | Action: Tentative de création d'un événement | Détails: [object Object]
[21/08/2025 21:05:28] Utilisateur ID: 1 | Action: Événement créé avec succès | Détails: [object Object]
[21/08/2025 21:05:29] Utilisateur ID: 1 | Action: Accès au tableau de bord organisateur | Détails: 
[21/08/2025 21:12:23] Utilisateur ID: 1 | Action: Tentative de création d'un événement | Détails: [object Object]
[21/08/2025 21:12:23] Utilisateur ID: 1 | Action: Événement créé avec succès | Détails: [object Object]
[21/08/2025 21:13:12] Utilisateur ID: 1 | Action: Tentative de création d'un événement | Détails: [object Object]
[21/08/2025 21:13:12] Utilisateur ID: 1 | Action: Événement créé avec succès | Détails: [object Object]
[21/08/2025 21:37:30] Utilisateur ID: a | Action: Inscription à l'événement 4 | Détails: 
[21/08/2025 21:37:31] Utilisateur ID: a | Action: Inscription à l'événement 4 | Détails: 
[22/08/2025 17:05:20] Utilisateur ID: 1 | Action: Modification du rôle | Détails: Rôle de l'utilisateur 4 modifié en organisateur
[22/08/2025 17:17:51] Utilisateur ID: 1 | Action: Modification du rôle | Détails: Rôle de l'utilisateur 3 modifié en organisateur
[22/08/2025 17:17:55] Utilisateur ID: 1 | Action: Modification du rôle | Détails: Rôle de l'utilisateur 3 modifié en etudiant
[22/08/2025 18:15:16] Utilisateur ID: 1 | Action: Modification du rôle | Détails: Rôle de l'utilisateur 4 modifié en etudiant
[22/08/2025 18:35:36] Utilisateur ID: theohp@outlook.fr | Action: Inscription à l'événement 2 | Détails: 
[22/08/2025 18:35:53] Utilisateur ID: theohp@outlook.fr | Action: Inscription à l'événement 4 | Détails: 
[22/08/2025 18:35:54] Utilisateur ID: theohp@outlook.fr | Action: Inscription à l'événement 4 | Détails: 
